date,open,close,high,low,volume
2022-08-30,3240.180,3227.220,3243.750,3212.630,294318914.000
2022-08-31,3216.530,3202.140,3232.020,3184.390,344408829.000
2022-09-01,3196.540,3184.980,3214.560,3181.630,274660541.000
2022-09-02,3189.640,3186.480,3198.280,3173.790,250456911.000
2022-09-05,3183.950,3199.910,3199.910,3172.040,280675633.000
2022-09-06,3207.930,3243.450,3244.640,3203.820,318869689.000
2022-09-07,3232.140,3246.290,3253.770,3227.820,301014466.000
2022-09-08,3245.560,3235.590,3253.700,3233.800,281680358.000
2022-09-09,3241.180,3262.050,3266.200,3236.510,283827665.000
2022-09-13,3272.050,3263.800,3278.170,3259.660,276189823.000
2022-09-14,3224.680,3237.540,3250.800,3221.960,255193365.000
2022-09-15,3248.970,3199.920,3254.180,3174.390,325206121.000
2022-09-16,3189.830,3126.400,3191.830,3126.400,316475893.000
2022-09-19,3122.750,3115.600,3135.560,3101.220,249113662.000
2022-09-20,3127.840,3122.410,3140.030,3114.040,219942534.000
2022-09-21,3116.010,3117.180,3129.820,3091.300,232972496.000
2022-09-22,3098.770,3108.910,3125.680,3092.820,221140689.000
2022-09-23,3106.810,3088.370,3124.660,3072.240,243057719.000
2022-09-26,3067.570,3051.230,3102.650,3048.510,262698628.000
2022-09-27,3056.390,3093.860,3094.040,3048.370,232735303.000
2022-09-28,3089.100,3045.070,3089.100,3044.860,230098650.000
2022-09-29,3067.470,3041.200,3076.760,3026.080,230030416.000
2022-09-30,3042.170,3024.390,3054.610,3021.930,204115336.000
2022-10-10,3026.940,2974.150,3029.450,2968.280,243404828.000
2022-10-11,2978.060,2979.790,2986.910,2953.500,208635950.000
2022-10-12,2976.720,3025.510,3025.510,2934.090,248013557.000
2022-10-13,3008.300,3016.360,3036.250,3004.500,249683281.000
2022-10-14,3035.030,3071.990,3084.270,3035.030,277304061.000
2022-10-17,3060.520,3084.940,3087.190,3052.710,262608618.000
2022-10-18,3094.930,3080.960,3099.920,3074.220,245634757.000
2022-10-19,3073.260,3044.380,3081.390,3044.380,230895310.000
2022-10-20,3029.300,3035.050,3070.260,3013.690,244736145.000
2022-10-21,3038.040,3038.930,3055.420,3026.960,245254122.000
2022-10-24,3034.750,2977.560,3064.420,2965.170,298085356.000
2022-10-25,2969.160,2976.280,3001.720,2944.260,255554160.000
2022-10-26,2977.560,2999.500,3028.350,2977.560,268689492.000
2022-10-27,3005.040,2982.900,3017.260,2981.690,265608254.000
2022-10-28,2967.020,2915.930,2974.240,2908.980,292531308.000
2022-10-31,2893.200,2893.480,2926.020,2885.090,301994203.000
2022-11-01,2899.500,2969.200,2969.200,2896.760,319809578.000
2022-11-02,2960.650,3003.370,3019.050,2954.950,325078248.000
2022-11-03,2981.200,2997.810,3003.720,2977.720,259348567.000
2022-11-04,2997.000,3070.800,3081.590,2997.000,329806740.000
2022-11-07,3062.860,3077.820,3088.190,3054.460,320567097.000
2022-11-08,3077.310,3064.490,3078.280,3047.460,256522007.000
2022-11-09,3064.460,3048.170,3073.920,3046.190,235637324.000
2022-11-10,3031.690,3036.130,3047.980,3022.850,270371798.000
2022-11-11,3099.650,3087.290,3117.740,3070.300,409604534.000
2022-11-14,3100.870,3083.400,3121.410,3075.220,361788216.000
2022-11-15,3081.130,3134.080,3135.590,3074.500,331470577.000
2022-11-16,3133.650,3119.980,3145.750,3115.350,303429844.000
2022-11-17,3110.960,3115.430,3115.440,3087.170,287028407.000
2022-11-18,3116.730,3097.240,3126.710,3096.890,299954276.000
2022-11-21,3078.060,3085.040,3085.240,3056.170,256045549.000
2022-11-22,3084.230,3088.940,3118.120,3076.320,327565927.000
2022-11-23,3084.740,3096.910,3108.240,3075.320,326155449.000
2022-11-24,3104.100,3089.310,3113.240,3084.860,267482928.000
2022-11-25,3085.460,3101.690,3111.420,3077.970,311431979.000
2022-11-28,3055.290,3078.550,3080.180,3034.700,305811284.000
